raw_name,stg_name
raw_aviso,stg_aviso
raw_bevy,stg_bevy
raw_clearbit,stg_clearbit
raw_cloud_billing_stripe,stg_cloud_billing_stripe
raw_cloud_marketplace,stg_cloud_marketplace
raw_concur,stg_concur
raw_contentstack,stg_contentstack
raw_docebo,stg_docebo
raw_docebo_internal,stg_docebo_internal
raw_downloads,stg_downloads
raw_funnel,stg_funnel
raw_gainsight,stg_gainsight
raw_gcp_itengdb_public,stg_gcp_itengdb_public
raw_github,stg_github
raw_google_analytics,stg_google_analytics
raw_greenhouse,stg_greenhouse
raw_hginsights,stg_hginsights
raw_kickfire,stg_kickfire
raw_marketing,stg_marketing
raw_marketo,stg_marketo
raw_netsuite,stg_netsuite
raw_netsuite_sa,stg_netsuite_sa
raw_pingboard,stg_pingboard
raw_recurly,stg_recurly
raw_saas_hosted_es,stg_saas_hosted_es
raw_saas_search,stg_saas_search
raw_salesforce,stg_salesforce
raw_sink_hosted_es,stg_sink_hosted_es
raw_starred,stg_starred
raw_strigo,stg_strigo
raw_stripe,stg_stripe
raw_stripe_swiftype,stg_stripe_swiftype
raw_telemetry_ece,stg_telemetry_ece
raw_telemetry_self_managed,stg_telemetry_self_managed
raw_weblogs,stg_weblogs
raw_workday,stg_workday
raw_zuora,stg_zuora
