raw_name,stg_name
raw_cloud_billing_stripe,stg_cloud_billing_stripe
raw_concur,stg_concur
raw_docebo,stg_docebo
raw_docebo_internal,stg_docebo_internal
raw_gainsight,stg_gainsight
raw_google_analytics,stg_google_analytics
raw_greenhouse,stg_greenhouse
raw_marketo,stg_marketo
raw_netsuite,stg_netsuite
raw_netsuite_sa,stg_netsuite_sa
raw_saas_hosted_es,stg_saas_hosted_es
raw_salesforce,stg_salesforce
raw_stripe,stg_stripe
raw_stripe_swiftype,stg_stripe_swiftype
raw_workday,stg_workday
raw_zuora,stg_zuora
